Age,Incidence
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0.1
13,0.1
14,0.2
15,0.1
16,0.2
17,0.4
18,0.4
19,0.5
20,0.6
21,0.8
22,1.1
23,1.1
24,1.2
25,1.6
26,1.9
27,2
28,2.2
29,2.9
30,3.2
31,3.9
32,4
33,5.5
34,5.5
35,6.5
36,7.1
37,7.5
38,9.2
39,10.8
40,11.9
41,13.9
42,14.5
43,17.2
44,19.3
45,21.9
46,25.2
47,27
48,32.2
49,35.4
50,51.3
51,50.9
52,50.3
53,53.6
54,59.5
55,63
56,67.2
57,70.5
58,77
59,82.7
60,93.5
61,96.7
62,104.7
63,111.5
64,120.4
65,147.6
66,149.3
67,153.8
68,166.2
69,175.5
70,190.2
71,201.7
72,214
73,226.2
74,242
75,252.3
76,260.7
77,276.2
78,290.7
79,295.5
80,302.9
81,318
82,333.8
83,343.1
NA,347.7
NA,364.9
NA,NA