,Transformation parameter epsilon,RMS CML PLM,Parameter A,Parameter gamma,Inverse parameter A,Inverse parameter gamma
154,0.4667283620604041,0.3003254236608267,5.569336018654467e-08,3.90768144595166,3.450490889929568e-07,3.90768144595166
155,0.4695065070726684,0.3003242306782576,5.509393132010419e-08,3.9076742481836217,3.4505991125086325e-07,3.9076742481836217
156,0.4722846520849327,0.3003230467819665,5.4500947974800925e-08,3.9076670815330083,3.4507068621225783e-07,3.9076670815330083
157,0.475062797097197,0.3003218587227035,5.3914366279663756e-08,3.9076598480505136,3.450815602869967e-07,3.9076598480505136
158,0.4778409421094613,0.3003206871356181,5.333406980543491e-08,3.9076527319260084,3.450922588307004e-07,3.9076527319260084
159,0.48061908712172563,0.30031951209529484,5.276004122512151e-08,3.9076455364816667,3.4510307473554104e-07,3.9076455364816667
160,0.48339723213398994,0.3003183287929874,5.21922229061978e-08,3.9076382206347895,3.4511406906460965e-07,3.9076382206347895
161,0.48617537714625425,0.30031717015872206,5.163046601947877e-08,3.90763111281209,3.4512475315214193e-07,3.90763111281209
162,0.48895352215851856,0.30031599724954516,5.1074803001593936e-08,3.9076238185740277,3.4513571380107886e-07,3.9076238185740277
163,0.49173166717078287,0.3003148543629076,5.052505839543909e-08,3.907616787050997,3.4514628319417183e-07,3.907616787050997
164,0.4945098121830472,0.3003136988427397,4.998127279777259e-08,3.9076095888627207,3.4515709979062554e-07,3.9076095888627207
165,0.4972879571953115,0.3003125459637942,4.94433428178829e-08,3.907602385661665,3.4516792315284804e-07,3.907602385661665
166,0.5000661022075757,0.30031140269448725,4.89111942751664e-08,3.907595224588547,3.451786831154245e-07,3.907595224588547
167,0.5028442472198401,0.30031025971819314,4.838477950635275e-08,3.9075880440168116,3.451894717283036e-07,3.9075880440168116
168,0.5056223922321044,0.3003091202617317,4.786403432826553e-08,3.907580853748375,3.4520027381105716e-07,3.907580853748375
169,0.5084005372443687,0.3003079902322183,4.734888451874584e-08,3.9075737116074047,3.452110038528295e-07,3.9075737116074047
170,0.511178682256633,0.30030685463691686,4.683930166712098e-08,3.9075664773574,3.452218702294169e-07,3.9075664773574
171,0.5139568272688974,0.3003057314240635,4.633518309444162e-08,3.9075593405178917,3.452325913096618e-07,3.9075593405178917
172,0.5167349722811616,0.30030461276918524,4.5836492030790844e-08,3.9075522029725547,3.452433126068256e-07,3.9075522029725547
173,0.519513117293426,0.3003034883972399,4.5343187394482065e-08,3.907544985672372,3.452541522169739e-07,3.907544985672372
174,0.5222912623056902,0.3003023832283339,4.485516545248601e-08,3.9075378976926762,3.4526479856616847e-07,3.9075378976926762
175,0.5250694073179546,0.3003012746031124,4.437240848652962e-08,3.9075307592766206,3.4527551952626345e-07,3.9075307592766206
176,0.5278475523302188,0.30030016951972255,4.389485072164923e-08,3.907523612057084,3.452862530063403e-07,3.907523612057084
177,0.5306256973424832,0.30029906657380034,4.342243514337508e-08,3.907516460744345,3.452969920325407e-07,3.907516460744345
178,0.5334038423547475,0.30029797218152937,4.295509712438201e-08,3.9075093497240125,3.453076705601297e-07,3.9075093497240125
179,0.5361819873670118,0.30029687896634905,4.249279361933558e-08,3.9075022232959755,3.4531837148013204e-07,3.9075022232959755
180,0.5389601323792761,0.30029579171393345,4.2035463485109425e-08,3.907495115136181,3.453290446900216e-07,3.907495115136181
181,0.5417382773915405,0.30029470526159263,4.158306098147683e-08,3.907487986795307,3.453397473178432e-07,3.907487986795307
182,0.5445164224038047,0.3002936264489324,4.113552163774798e-08,3.907480895184873,3.45350395004578e-07,3.907480895184873
183,0.5472945674160691,0.3002925503093918,4.069280222323941e-08,3.9074737945228954,3.4536105544690737e-07,3.9074737945228954
184,0.5500727124283333,0.3002914740031425,4.025485231882799e-08,3.9074666772050075,3.45371740267152e-07,3.9074666772050075
185,0.5528508574405977,0.3002904083364495,3.982160490525544e-08,3.9074596237039634,3.453823296118361e-07,3.9074596237039634
186,0.555629002452862,0.30028934667351764,3.939302136146534e-08,3.907452572564712,3.4539291492521624e-07,3.907452572564712
187,0.5584071474651263,0.30028828553801784,3.89690557604171e-08,3.9074455011646494,3.454035298732427e-07,3.9074455011646494
188,0.5611852924773906,0.30028722886550546,3.8549653149488566e-08,3.907438436956098,3.4541413368332385e-07,3.907438436956098
189,0.5639634374896549,0.3002861796189414,3.813475771562511e-08,3.9074314159767534,3.4542467268546203e-07,3.9074314159767534
190,0.5667415825019192,0.30028513116189964,3.772433318301031e-08,3.9074243724270987,3.454352448214463e-07,3.9074243724270987
191,0.5695197275141836,0.300284086113807,3.73183260398309e-08,3.9074173353833928,3.4544580692982935e-07,3.9074173353833928
192,0.5722978725264478,0.3002830498697027,3.691667960887598e-08,3.907410355359593,3.4545628357204596e-07,3.907410355359593
193,0.5750760175387122,0.3002820138590226,3.651936259855408e-08,3.907403345726642,3.454668038317357e-07,3.907403345726642
194,0.5778541625509764,0.3002809825533664,3.612632115745785e-08,3.9073963468195143,3.4547730766089414e-07,3.9073963468195143
195,0.5806323075632408,0.3002799529586628,3.5737513965214834e-08,3.907389331868347,3.4548783499448665e-07,3.907389331868347
196,0.5834104525755051,0.30027893038244735,3.5352883620519084e-08,3.907382368783551,3.454982847311367e-07,3.907382368783551
197,0.5861885975877694,0.30027790901351065,3.497239668392458e-08,3.907375391210524,3.45508755692472e-07,3.907375391210524
198,0.5889667426000337,0.300276885520075,3.459601680375573e-08,3.907368349924019,3.4551932094978006e-07,3.907368349924019
199,0.591744887612298,0.30027588328817695,3.422365604541122e-08,3.9073615043242973,3.455295944548552e-07,3.9073615043242973
200,0.5945230326245623,0.3002748743138204,3.385532085592379e-08,3.9073545588109346,3.4554001636022195e-07,3.9073545588109346
201,0.5973011776368267,0.30027387460371235,3.349094066330564e-08,3.9073476769786097,3.455503430125201e-07,3.9073476769786097
202,0.6000793226490909,0.30027287658510243,3.313048568977851e-08,3.9073407813764054,3.455606898356455e-07,3.9073407813764054
203,0.6028574676613553,0.3002718798327035,3.2773912474403306e-08,3.907333879052797,3.455710462378754e-07,3.907333879052797
204,0.6056356126736195,0.3002708885093752,3.242117440237618e-08,3.9073270000968727,3.455813674670309e-07,3.9073270000968727
205,0.6084137576858839,0.3002698991200277,3.207223478405304e-08,3.9073201157629214,3.455916963778651e-07,3.9073201157629214
206,0.6111919026981482,0.30026891657001636,3.172704580369354e-08,3.9073132701335265,3.4560196720921625e-07,3.9073132701335265
207,0.6139700477104125,0.30026793760154386,3.138557240981561e-08,3.907306429490438,3.4561223028544505e-07,3.907306429490438
208,0.6167481927226768,0.30026695885592847,3.1047778462157465e-08,3.907299568547288,3.456225231766306e-07,3.907299568547288
209,0.6195263377349411,0.3002659903016891,3.0713609620924944e-08,3.9072927842131886,3.4563270174212846e-07,3.9072927842131886
210,0.6223044827472054,0.30026502157823776,3.0383043809114444e-08,3.9072859646880556,3.4564293228094533e-07,3.9072859646880556
211,0.6250826277594698,0.300264058619687,3.005603137868874e-08,3.9072791824494133,3.4565310693830527e-07,3.9072791824494133
212,0.627860772771734,0.30026309870168705,2.9732538430797116e-08,3.907272408559307,3.4566326894476184e-07,3.907272408559307
213,0.6306389177839984,0.3002621418243045,2.941252732464464e-08,3.907265641195061,3.456734207012674e-07,3.907265641195061
214,0.6334170627962626,0.30026118949997915,2.9095959243681345e-08,3.907258889803486,3.4568354837868685e-07,3.907258889803486
215,0.636195207808527,0.30026024024413245,2.878279920901774e-08,3.9072521399708355,3.4569367348925624e-07,3.9072521399708355
216,0.6389733528207913,0.30025929760328957,2.84730044282426e-08,3.9072454348539956,3.4570373158044983e-07,3.9072454348539956
217,0.6417514978330556,0.30025835747714485,2.8166545039158995e-08,3.9072387296758175,3.4571378948143497e-07,3.9072387296758175
218,0.6445296428453199,0.3002574224040136,2.7863381705622453e-08,3.907232049165701,3.4572381033073657e-07,3.907232049165701
219,0.6473077878575842,0.30025648462381493,2.756348810534312e-08,3.9072253267780996,3.457338934677359e-07,3.9072253267780996
220,0.6500859328698485,0.30025555903116374,2.7266810559747913e-08,3.9072186978287298,3.4574383662508116e-07,3.9072186978287298
221,0.6528640778821129,0.3002546340684133,2.6973329491439094e-08,3.907212052116255,3.457538047051947e-07,3.907212052116255
222,0.6556422228943771,0.30025371277966884,2.668300646418241e-08,3.90720541948991,3.4576375308728797e-07,3.90720541948991
223,0.6584203679066415,0.3002527933796211,2.6395809726258366e-08,3.9071987828268457,3.457737070206395e-07,3.9071987828268457
224,0.6611985129189057,0.30025188100476113,2.6111700177605454e-08,3.9071921840007233,3.457836042980695e-07,3.9071921840007233
225,0.6639766579311701,0.3002509742832919,2.5830645136789287e-08,3.9071856193717736,3.457934503588401e-07,3.9071856193717736
226,0.6667548029434344,0.30025006692205813,2.5552617879218003e-08,3.9071790411323555,3.458033165189759e-07,3.9071790411323555
227,0.6695329479556987,0.3002491630135566,2.5277581995516442e-08,3.9071724791490277,3.4581315817524224e-07,3.9071724791490277
228,0.672311092967963,0.30024826629170204,2.5005501792355785e-08,3.9071659615651186,3.458229332233165e-07,3.9071659615651186
229,0.6750892379802274,0.30024736582126255,2.4736358474214597e-08,3.907159383722301,3.4583279794632517e-07,3.907159383722301
230,0.6778673829924916,0.3002464793752422,2.447009861351379e-08,3.907152922916998,3.45842487937758e-07,3.907152922916998
231,0.680645528004756,0.30024558462159107,2.420671863893724e-08,3.907146354053624,3.458523387973974e-07,3.907146354053624
232,0.6834236730170202,0.30024471114259016,2.3946152109078825e-08,3.9071399710793835,3.458619121179085e-07,3.9071399710793835
233,0.6862018180292846,0.30024382866191657,2.3688402503874743e-08,3.9071334925033967,3.4587162783069224e-07,3.9071334925033967
234,0.6889799630415488,0.300242953904824,2.343342161074133e-08,3.907127068904762,3.458812613416713e-07,3.907127068904762
235,0.6917581080538132,0.30024205886577593,2.318121159653128e-08,3.9071204256347154,3.45891222285223e-07,3.9071204256347154
236,0.6945362530660775,0.3002412115203821,2.293166690952961e-08,3.9071142176686022,3.459005336895287e-07,3.9071142176686022
237,0.6973143980783418,0.30024034738079797,2.2684828639526183e-08,3.907107839631143,3.459100985777845e-07,3.907107839631143
238,0.7000925430906061,0.3002394859077283,2.244064938574811e-08,3.90710145025709,3.4591968001281706e-07,3.90710145025709
239,0.7028706881028705,0.3002386291181751,2.219909518985294e-08,3.907095097275021,3.459292070905061e-07,3.907095097275021
240,0.7056488331151347,0.30023777628329495,2.1960139285195935e-08,3.907088767641343,3.459386990764686e-07,3.907088767641343
241,0.7084269781273991,0.3002369261733104,2.1723755517184955e-08,3.9070824450846464,3.4594818030365915e-07,3.9070824450846464
242,0.7112051231396633,0.3002360694344899,2.1489926525624273e-08,3.9070760338995782,3.4595779347857854e-07,3.9070760338995782
243,0.7139832681519276,0.30023523871562857,2.1258590270706648e-08,3.9070698554712098,3.4596705924271723e-07,3.9070698554712098
244,0.716761413164192,0.3002343978567034,2.1029756385556264e-08,3.90706356954001,3.459764852123904e-07,3.90706356954001
245,0.7195395581764562,0.3002335627053692,2.080338192097025e-08,3.9070573267668434,3.4598584662632767e-07,3.9070573267668434
246,0.7223177031887206,0.30023273280148866,2.057944299550253e-08,3.907051102776857,3.4599517971739777e-07,3.907051102776857
247,0.7250958482009848,0.3002319041613199,2.0357914756246843e-08,3.9070448846716213,3.4600450402819903e-07,3.9070448846716213
248,0.7278739932132492,0.3002310767569458,2.013877288246461e-08,3.907038656162541,3.460138434963957e-07,3.907038656162541
249,0.7306521382255134,0.30023025529793235,1.9921985734075025e-08,3.907032476256206,3.460231102740789e-07,3.907032476256206
250,0.7334302832377778,0.3002294344932776,1.9707534347078898e-08,3.9070262815995065,3.4603239890386653e-07,3.9070262815995065
251,0.7362084282500421,0.30022862561511804,1.94953827637576e-08,3.907020181623003,3.46041546085432e-07,3.907020181623003
252,0.7389865732623064,0.30022781440496377,1.928551910338251e-08,3.9070140458711715,3.460507464046028e-07,3.9070140458711715
253,0.7417647182745707,0.30022700675966685,1.907791392709843e-08,3.907007923441265,3.4605992673252416e-07,3.907007923441265
254,0.744542863286835,0.3002262070995614,1.887253795183233e-08,3.907001866483112,3.4606900913147945e-07,3.907001866483112
255,0.7473210082990993,0.3002253973780902,1.866938373138397e-08,3.9069957010856866,3.4607825336076965e-07,3.9069957010856866
256,0.7500991533113637,0.3002246080119322,1.8468400662078703e-08,3.9069897101551962,3.4608723685913655e-07,3.9069897101551962
257,0.7528772983236279,0.30022381454580555,1.8269587647001397e-08,3.9069836564531366,3.4609631384982723e-07,3.9069836564531366
258,0.7556554433358923,0.3002230280657933,1.8072909648433142e-08,3.906977666122846,3.4610529618055757e-07,3.906977666122846
259,0.7584335883481566,0.3002222407320224,1.7878352005946366e-08,3.906971648403251,3.46114319159031e-07,3.906971648403251
260,0.7612117333604209,0.3002214517600581,1.7685891324961218e-08,3.906965609082495,3.461233744000195e-07,3.906965609082495
261,0.7639898783726852,0.30022068072671954,1.7495490072317092e-08,3.906959715811919,3.4613221129950997e-07,3.906959715811919
262,0.7667680233849495,0.30021989359468026,1.7307153788156163e-08,3.9069536563111282,3.4614129622963205e-07,3.9069536563111282
263,0.7695461683972138,0.3002191375736261,1.7120820892447254e-08,3.9069478793351653,3.461499593049525e-07,3.9069478793351653
264,0.7723243134094782,0.3002183651141762,1.6936508837088665e-08,3.9069419373296737,3.4615886855932073e-07,3.9069419373296737
265,0.7751024584217424,0.3002175954916796,1.675418015949316e-08,3.906936011188893,3.461677541223628e-07,3.906936011188893
266,0.7778806034340068,0.30021683909442465,1.6573806422841462e-08,3.906930184830935,3.461764902868528e-07,3.906930184830935
267,0.780658748446271,0.30021608011612266,1.6395376849579515e-08,3.906924337429145,3.4618525789329694e-07,3.906924337429145
268,0.7834368934585354,0.3002153258309588,1.6218867148950028e-08,3.9069185090018674,3.4619399706268457e-07,3.9069185090018674
269,0.7862150384707997,0.3002143407656973,1.6044458267188687e-08,3.906910232076034,3.462063861755863e-07,3.906910232076034
270,0.788993183483064,0.3002137993112937,1.5871548550578466e-08,3.9069066177161584,3.4621182436688854e-07,3.9069066177161584
271,0.7917713284953283,0.30021308023037846,1.5700653922333056e-08,3.906901112228517,3.4622008149028217e-07,3.906901112228517
272,0.7945494735075926,0.30021233787616586,1.553162026545074e-08,3.9068953489595253,3.462287229352108e-07,3.9068953489595253
273,0.7973276185198569,0.30021160016445914,1.536440584931931e-08,3.9068895989888826,3.4623734410742597e-07,3.9068895989888826
274,0.8001057635321213,0.3002108674950825,1.5198987735391647e-08,3.9068839058719638,3.4624588045151785e-07,3.9068839058719638
275,0.8028839085443855,0.3002101376328929,1.503535043128541e-08,3.906878220476131,3.462544051005714e-07,3.906878220476131
276,0.8056620535566499,0.30020940578086813,1.487347785030201e-08,3.9068725022915274,3.462629785529277e-07,3.9068725022915274
277,0.8084401985689141,0.30020867727196604,1.4713347133429463e-08,3.9068668017854757,3.4627152551068375e-07,3.9068668017854757
278,0.8112183435811785,0.3002079607781472,1.455493300193741e-08,3.9068612066520676,3.462799149554614e-07,3.9068612066520676
279,0.8139964885934428,0.3002072135949782,1.439824865528812e-08,3.9068552895063107,3.462887848119573e-07,3.9068552895063107
280,0.8167746336057071,0.30020652608038784,1.424320822950853e-08,3.906849964751256,3.462967706734043e-07,3.906849964751256
281,0.8195527786179714,0.30020579816081067,1.4089867837813819e-08,3.9068442227678637,3.4630537911902523e-07,3.9068442227678637
282,0.8223309236302357,0.30020331248472987,1.3940197381688017e-08,3.9068101100747206,3.4635606339618457e-07,3.9068101100747206
283,0.8251090686425,0.30020440123377745,1.3788085157512303e-08,3.906833274308428,3.463217960246151e-07,3.906833274308428
284,0.8278872136547644,0.30020367177965157,1.3639649637584671e-08,3.9068274776118774,3.4633048576819225e-07,3.9068274776118774
285,0.8306653586670286,0.30020299855517435,1.3492775106941716e-08,3.906822220243685,3.4633837020585064e-07,3.906822220243685
286,0.833443503679293,0.3002022949707774,1.3347504482972367e-08,3.9068166430805604,3.4634673186763896e-07,3.9068166430805604
287,0.8362216486915572,0.3002016058987312,1.320378901412001e-08,3.9068112028418946,3.463548889812512e-07,3.9068112028418946
288,0.8389997937038216,0.3002009252595425,1.3061616079979129e-08,3.9068058408848767,3.4636292913760725e-07,3.9068058408848767
289,0.8417779387160859,0.30020011244416406,1.292106699134662e-08,3.9067990868788023,3.4637304595231414e-07,3.9067990868788023
290,0.8445560837283502,0.30019353669322874,1.2793394715527008e-08,3.9066182825403604,3.4664015937643243e-07,3.9066182825403604
291,0.8473342287406145,0.3001988612324429,1.2644239125095507e-08,3.9067894444238105,3.463875126328613e-07,3.9067894444238105
292,0.8501123737528788,0.3001981983496981,1.2508084016101156e-08,3.906784216309754,3.4639535263917557e-07,3.906784216309754
293,0.8528905187651431,0.3001974880103382,1.2373426678279327e-08,3.9067784984868723,3.464039236430961e-07,3.9067784984868723
294,0.8556686637774075,0.3001968277206572,1.2240189308714955e-08,3.9067732563089126,3.4641178423715345e-07,3.9067732563089126
295,0.8584468087896717,0.3001961857319435,1.2108376045201332e-08,3.9067681889393486,3.464193837169172e-07,3.9067681889393486
296,0.8612249538019361,0.3001955215004313,1.1977996585129487e-08,3.9067628957129785,3.4642732041014545e-07,3.9067628957129785
297,0.8640030988142003,0.30019485979960603,1.1849020863264629e-08,3.9067576104261033,3.4643524509372936e-07,3.9067576104261033
298,0.8667812438264647,0.3001942038634759,1.1721431407862165e-08,3.906752371985318,3.4644309972214714e-07,3.906752371985318
299,0.869559388838729,0.3001935478262293,1.1595217190808685e-08,3.9067471163151186,3.4645098000054426e-07,3.9067471163151186
300,0.8723375338509933,0.30019287602391703,1.1470371705719794e-08,3.9067417032118437,3.464590951564377e-07,3.9067417032118437
301,0.8751156788632576,0.3001922430332893,1.134684858487168e-08,3.906736667273857,3.464666474266537e-07,3.906736667273857
302,0.877893823875522,0.3001916017829703,1.12246619997877e-08,3.9067315275795624,3.464743539787314e-07,3.9067315275795624
303,0.8806719688877862,0.30019093388430784,1.1103807624237551e-08,3.906726107755977,3.464824790816582e-07,3.906726107755977
304,0.8834501139000506,0.30019031793503104,1.0984225252197679e-08,3.9067212056702516,3.4648983073870754e-07,3.9067212056702516
305,0.8862282589123148,0.30018966434110184,1.0865952920418412e-08,3.906715915547204,3.464977618416808e-07,3.906715915547204
306,0.8890064039245792,0.3001890421226251,1.0748937560945638e-08,3.9067109266192013,3.465052431273605e-07,3.9067109266192013
307,0.8917845489368434,0.3001884151353387,1.0633185872634498e-08,3.9067058789511115,3.4651281197338255e-07,3.9067058789511115
308,0.8945626939491078,0.3001877881352359,1.0518681313942717e-08,3.906700824880755,3.465203903215485e-07,3.906700824880755
